family,comparison,delta_macro_f1,ci95_low,ci95_high,wilcoxon_p,holm_p,median_subject_delta,wins,ties,losses,delta_f1_W,delta_f1_N1,delta_f1_N2,delta_f1_N3,delta_f1_REM
primary,E1-E0,0.0048105355851219,-0.0009150670054002744,0.010193111414710701,0.03406426690946181,0.10219280072838542,0.004797941818554974,51,0,27,0.001651383498538439,0.010553340300883951,0.00532173885219045,0.0022171722214638923,0.004309043052531991
primary,E2-E1,0.0032514315184603015,-0.002369909106633386,0.008808213446727317,0.05177692945691502,0.10355385891383004,0.004427522244276116,44,0,34,-0.00031268002813344964,0.00656011893637265,0.0008180887752960997,0.0033612044463474655,0.0058304254624194085
primary,E3-E2,0.006961996736797871,0.00030510019340668215,0.014520124023009576,0.8989331291102158,0.8989331291102158,-0.001184318223165337,37,0,41,0.0054587146232283335,0.00956764501180496,-0.0022898330593987826,0.010812655997259113,0.011260801111095398
primary,E3-E6,0.021319066272580733,0.01217930909968733,0.030697663408165075,0.00029629652596251674,0.001185186103850067,0.013568417896781593,49,0,29,0.0025512620988041856,0.015199448613054445,0.01295017900058848,0.06278186462524094,0.013112577025215622
secondary,E4-E2,0.005585986938398513,-0.0016985657259696862,0.013617895161068308,0.9028765007944931,,-0.0012464133319078918,38,0,40,0.00347859381463822,0.008977988786860736,0.00014121026846580786,0.01168155784958358,0.003650583972443888
