experiment,description,component_models,parameters,parameter_ratio_vs_E0,latency_ms_median,latency_ms_p95,throughput_epochs_per_second,peak_allocated_mib,peak_reserved_mib,speedup_vs_E0,peak_allocated_ratio_vs_E0
E0,"15CNN + BiLSTM, raw",16,248630,1.0,13.431499500000001,15.44002025,7445.1851038672185,58.810546875,80.0,1.0,1.0
E1,"15CNN + TCN, raw",16,640950,2.5779270401801875,12.5111475,13.689192799999999,7992.871956788936,60.30712890625,82.0,1.0735625569117462,1.0254475108764238
E2,"ResNet-1D + TCN, raw",2,1085578,4.366238989663355,3.5749965,3.6531384499999997,27972.05535725699,75.5390625,98.0,3.7570664754496965,1.2844475440868786
E3,"ResNet-1D + TCN, filtered/chia 100",2,1085578,4.366238989663355,3.5687435,3.6812598000000003,28021.066798440403,75.5390625,98.0,3.763649446927189,1.2844475440868786
E4,"ResNet-1D + TCN, band-pass",2,1085578,4.366238989663355,3.5739345,3.64271935,27980.36729548345,75.5390625,98.0,3.7581828933910235,1.2844475440868786
E6,"ResNet-1D + TCN, filtered/z-score",2,1085578,4.366238989663355,3.5756015,3.6426286500000002,27967.322421136694,75.5390625,98.0,3.7564307711583638,1.2844475440868786
