timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/13 00:48:17.044, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 43
2026/08/13 00:48:27.045, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 00:48:37.046, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 00:48:47.048, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 00:48:57.049, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 00:49:07.050, Tesla V100-PCIE-16GB, 46 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 00:49:17.051, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 00:49:27.052, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 00:49:37.055, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 00:49:47.056, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 00:49:57.057, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 00:50:07.108, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 00:50:17.109, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 00:50:27.110, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 00:50:37.112, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:50:47.113, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:50:57.114, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:51:07.115, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:51:17.116, Tesla V100-PCIE-16GB, 25 %, 5 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:51:27.117, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:51:37.118, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:51:47.119, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:51:57.120, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:52:07.166, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:52:17.167, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 51
2026/08/13 00:52:27.168, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 51
