timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/12 12:58:15.621, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 37
2026/08/12 12:58:25.623, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 39
2026/08/12 12:58:35.624, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 40
2026/08/12 12:58:45.625, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 41
2026/08/12 12:58:55.626, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 41
2026/08/12 12:59:05.627, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/12 12:59:15.628, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/12 12:59:25.630, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/12 12:59:35.647, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 12:59:45.648, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 12:59:55.649, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 13:00:05.650, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/12 13:00:15.651, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:00:25.653, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:00:35.654, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:00:45.655, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:00:55.656, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:01:05.658, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:01:15.659, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:01:25.661, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/12 13:01:35.662, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:01:45.663, Tesla V100-PCIE-16GB, 24 %, 5 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:01:55.664, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:02:05.666, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:02:15.667, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:02:25.668, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:02:35.670, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/12 13:02:45.671, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 45
