timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/20 07:11:58.534, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:12:08.535, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:12:18.536, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:12:28.537, Tesla V100-PCIE-16GB, 45 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:12:38.539, Tesla V100-PCIE-16GB, 10 %, 2 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:12:48.540, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:12:58.541, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:13:08.543, Tesla V100-PCIE-16GB, 51 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:13:18.544, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:13:28.545, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:13:38.546, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:13:48.547, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:13:58.549, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:14:08.550, Tesla V100-PCIE-16GB, 45 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:14:18.551, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:14:28.552, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:14:38.553, Tesla V100-PCIE-16GB, 13 %, 1 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:14:48.554, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:14:58.556, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:15:08.557, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:15:18.558, Tesla V100-PCIE-16GB, 45 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:15:28.559, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:15:38.560, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:15:48.562, Tesla V100-PCIE-16GB, 35 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:15:58.563, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:16:08.564, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:16:18.565, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
