timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/12 03:11:20.927, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 46
2026/08/12 03:11:30.929, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/12 03:11:40.930, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/12 03:11:50.984, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/12 03:12:00.986, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/12 03:12:10.987, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:12:20.988, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:12:30.990, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:12:40.991, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:12:50.992, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:13:00.993, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:13:10.994, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:13:20.995, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:13:30.996, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:13:40.997, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:13:51.056, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:14:01.057, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:14:11.058, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:14:21.059, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:14:31.061, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:14:41.062, Tesla V100-PCIE-16GB, 22 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:14:51.063, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:15:01.064, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:15:11.065, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:15:21.066, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:15:31.067, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:15:41.069, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:15:51.124, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:16:01.125, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:16:11.126, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:16:21.127, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:16:31.129, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:16:41.130, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:16:51.131, Tesla V100-PCIE-16GB, 18 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:17:01.133, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:17:11.134, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:17:21.135, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:17:31.136, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:17:41.137, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:17:51.226, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:18:01.227, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:18:11.229, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/12 03:18:21.230, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/12 03:18:31.231, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
