timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/13 13:36:00.947, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 38
2026/08/13 13:36:10.952, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 40
2026/08/13 13:36:20.953, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 41
2026/08/13 13:36:30.954, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 42
2026/08/13 13:36:40.956, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/13 13:36:50.958, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/13 13:37:00.959, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 43
2026/08/13 13:37:10.961, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/13 13:37:20.962, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/13 13:37:30.985, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/13 13:37:40.986, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 13:37:50.988, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 13:38:00.988, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 13:38:10.990, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 13:38:20.991, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 13:38:30.992, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:38:40.993, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 13:38:50.994, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:39:00.995, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:39:10.997, Tesla V100-PCIE-16GB, 25 %, 5 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:39:20.998, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:39:30.999, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:39:41.003, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:39:51.005, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:40:01.006, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:40:11.007, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:40:21.009, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:40:31.010, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:40:41.012, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:40:51.013, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:41:01.014, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:41:11.015, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:41:21.016, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:41:31.017, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:41:41.018, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:41:51.022, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:42:01.023, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:42:11.025, Tesla V100-PCIE-16GB, 53 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:42:21.026, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:42:31.027, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:42:41.066, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:42:51.068, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:43:01.069, Tesla V100-PCIE-16GB, 24 %, 5 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:43:11.070, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:43:21.072, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:43:31.073, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:43:41.074, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:43:51.075, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:44:01.091, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:44:11.092, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:44:21.093, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:44:31.094, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:44:41.095, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:44:51.176, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:45:01.177, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:45:11.178, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:45:21.179, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:45:31.325, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 13:45:41.326, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:45:51.327, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:46:01.329, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:46:11.330, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:46:21.332, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:46:31.333, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:46:41.334, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:46:51.335, Tesla V100-PCIE-16GB, 23 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:47:01.336, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:47:11.337, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:47:21.338, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:47:31.340, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:47:41.410, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:47:51.412, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:48:01.413, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:48:11.414, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:48:21.415, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:48:31.417, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:48:41.418, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:48:51.419, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:49:01.421, Tesla V100-PCIE-16GB, 55 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:49:11.422, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:49:21.423, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:49:31.425, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:49:41.487, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:49:51.488, Tesla V100-PCIE-16GB, 45 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:50:01.490, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:50:11.491, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:50:21.492, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 13:50:31.493, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
