timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/11 07:10:52.111, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:10:57.112, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:02.114, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:07.114, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:12.115, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:17.116, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:22.117, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:27.118, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:32.118, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:37.119, Tesla V100-PCIE-16GB, 52 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:42.182, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:47.183, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:11:52.184, Tesla V100-PCIE-16GB, 35 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:11:57.185, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:02.185, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:07.186, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:12.187, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:17.188, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:22.189, Tesla V100-PCIE-16GB, 48 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:12:27.190, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:32.191, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:37.191, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:42.192, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:47.193, Tesla V100-PCIE-16GB, 35 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:12:52.195, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:12:57.196, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:02.197, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:07.197, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:12.240, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:17.241, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:22.242, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:27.243, Tesla V100-PCIE-16GB, 61 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:13:32.245, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:37.245, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:42.246, Tesla V100-PCIE-16GB, 34 %, 10 %, 642 MiB, 16384 MiB
2026/08/11 07:13:47.247, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:52.248, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:13:57.252, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:02.252, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:07.253, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:12.254, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:17.255, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:22.255, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:27.283, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:32.283, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:37.284, Tesla V100-PCIE-16GB, 35 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:14:42.286, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:47.287, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:52.288, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:14:57.289, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:02.290, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:07.291, Tesla V100-PCIE-16GB, 53 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:12.292, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:17.293, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:22.294, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:27.294, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:32.384, Tesla V100-PCIE-16GB, 33 %, 10 %, 642 MiB, 16384 MiB
2026/08/11 07:15:37.385, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:42.386, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:47.386, Tesla V100-PCIE-16GB, 59 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:15:52.388, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:15:57.390, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:02.391, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:07.392, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:12.392, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:17.393, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:22.394, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:27.472, Tesla V100-PCIE-16GB, 36 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:16:32.472, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:37.473, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:42.474, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:47.475, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:52.477, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:16:57.480, Tesla V100-PCIE-16GB, 59 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:17:02.481, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:07.482, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:12.482, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:17.566, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:17:22.566, Tesla V100-PCIE-16GB, 36 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:17:27.567, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
