timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/11 07:26:38.174, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:43.175, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:48.176, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:53.192, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:58.192, Tesla V100-PCIE-16GB, 51 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:27:03.195, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:08.199, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:13.200, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:18.201, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:23.201, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:28.202, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:33.203, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:38.204, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:43.204, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:48.276, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:53.277, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:27:58.278, Tesla V100-PCIE-16GB, 61 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:28:03.279, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:08.320, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:13.323, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:18.324, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:23.325, Tesla V100-PCIE-16GB, 53 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:28.326, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:33.327, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:38.328, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:43.328, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:48.329, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:53.330, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:28:58.331, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:03.331, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:08.332, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:13.333, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:18.334, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:23.334, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:28.335, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:33.336, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:38.337, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:43.338, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:48.339, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:53.343, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:29:58.344, Tesla V100-PCIE-16GB, 59 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:30:03.346, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:08.349, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:13.353, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:18.353, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:23.354, Tesla V100-PCIE-16GB, 32 %, 9 %, 642 MiB, 16384 MiB
2026/08/11 07:30:28.355, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:33.356, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:38.356, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:43.357, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:48.358, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:53.402, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:30:58.404, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:03.404, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:08.405, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:13.406, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:18.407, Tesla V100-PCIE-16GB, 36 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:31:23.408, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:28.408, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:33.409, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:38.410, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:43.412, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:48.413, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:53.413, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:31:58.414, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:03.415, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:08.416, Tesla V100-PCIE-16GB, 53 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:13.418, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:18.419, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:23.420, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:28.421, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:33.421, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:38.422, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:43.423, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:48.424, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:53.424, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:32:58.490, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:03.490, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:08.491, Tesla V100-PCIE-16GB, 51 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:13.492, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:18.493, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:23.493, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:28.494, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:33.495, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:38.496, Tesla V100-PCIE-16GB, 51 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:33:43.510, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:48.511, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:53.512, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:33:58.512, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:03.514, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:08.515, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:13.516, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:18.517, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:23.518, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:28.519, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:33.522, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:38.523, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:43.524, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:48.525, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:53.525, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:34:58.526, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:03.599, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:08.599, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:13.600, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:18.603, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:23.607, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:28.608, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:33.608, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:38.609, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:43.610, Tesla V100-PCIE-16GB, 49 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:35:48.611, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:53.612, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:35:58.613, Tesla V100-PCIE-16GB, 37 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:36:03.613, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:08.614, Tesla V100-PCIE-16GB, 52 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:13.697, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:18.698, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:23.698, Tesla V100-PCIE-16GB, 52 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:28.699, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:33.700, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:38.701, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:43.702, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:48.702, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:36:53.703, Tesla V100-PCIE-16GB, 35 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:36:58.704, Tesla V100-PCIE-16GB, 49 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:37:03.705, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:08.706, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:13.706, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:18.707, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:23.708, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:28.709, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:33.709, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:38.710, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:43.711, Tesla V100-PCIE-16GB, 50 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:37:48.712, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:37:53.782, Tesla V100-PCIE-16GB, 49 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:37:58.783, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:03.783, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:08.784, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:13.785, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:18.786, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:23.786, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:28.787, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:33.788, Tesla V100-PCIE-16GB, 46 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:38:38.789, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:43.789, Tesla V100-PCIE-16GB, 51 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:48.790, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:53.848, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:38:58.849, Tesla V100-PCIE-16GB, 59 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:39:03.850, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:08.850, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:13.851, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:18.852, Tesla V100-PCIE-16GB, 61 %, 8 %, 642 MiB, 16384 MiB
2026/08/11 07:39:23.853, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:28.853, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:33.854, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:38.855, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:43.861, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:48.862, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:53.863, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:39:58.864, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:03.865, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:08.865, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:13.866, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:18.867, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:23.868, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:28.868, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:33.869, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:38.870, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:43.871, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:48.871, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:53.872, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:40:58.873, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:03.874, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:08.874, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:13.875, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:18.876, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:23.877, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:28.878, Tesla V100-PCIE-16GB, 53 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:33.878, Tesla V100-PCIE-16GB, 38 %, 12 %, 642 MiB, 16384 MiB
2026/08/11 07:41:38.879, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:43.880, Tesla V100-PCIE-16GB, 50 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:41:48.881, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:53.950, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:41:58.951, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:03.953, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:08.956, Tesla V100-PCIE-16GB, 46 %, 6 %, 642 MiB, 16384 MiB
2026/08/11 07:42:13.957, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:18.958, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:23.959, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:28.960, Tesla V100-PCIE-16GB, 36 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:42:33.960, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:38.962, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:44.015, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:49.017, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:54.018, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:42:59.019, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:43:04.019, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:43:09.023, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:43:14.024, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:43:19.025, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:43:24.025, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:43:29.026, Tesla V100-PCIE-16GB, 28 %, 15 %, 642 MiB, 16384 MiB
2026/08/11 07:43:34.027, Tesla V100-PCIE-16GB, 31 %, 17 %, 642 MiB, 16384 MiB
2026/08/11 07:43:39.028, Tesla V100-PCIE-16GB, 49 %, 19 %, 1260 MiB, 16384 MiB
2026/08/11 07:43:44.029, Tesla V100-PCIE-16GB, 45 %, 16 %, 1262 MiB, 16384 MiB
2026/08/11 07:43:49.115, Tesla V100-PCIE-16GB, 45 %, 18 %, 1262 MiB, 16384 MiB
2026/08/11 07:43:54.116, Tesla V100-PCIE-16GB, 41 %, 15 %, 1262 MiB, 16384 MiB
2026/08/11 07:43:59.116, Tesla V100-PCIE-16GB, 51 %, 19 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:04.117, Tesla V100-PCIE-16GB, 46 %, 18 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:09.118, Tesla V100-PCIE-16GB, 41 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:14.119, Tesla V100-PCIE-16GB, 40 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:19.120, Tesla V100-PCIE-16GB, 35 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:24.121, Tesla V100-PCIE-16GB, 52 %, 21 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:29.124, Tesla V100-PCIE-16GB, 39 %, 15 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:34.124, Tesla V100-PCIE-16GB, 41 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:39.125, Tesla V100-PCIE-16GB, 34 %, 12 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:44.126, Tesla V100-PCIE-16GB, 42 %, 16 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:49.129, Tesla V100-PCIE-16GB, 42 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:54.130, Tesla V100-PCIE-16GB, 45 %, 17 %, 1262 MiB, 16384 MiB
2026/08/11 07:44:59.130, Tesla V100-PCIE-16GB, 40 %, 15 %, 1262 MiB, 16384 MiB
2026/08/11 07:45:04.132, Tesla V100-PCIE-16GB, 46 %, 17 %, 1262 MiB, 16384 MiB
2026/08/11 07:45:09.132, Tesla V100-PCIE-16GB, 38 %, 13 %, 1262 MiB, 16384 MiB
2026/08/11 07:45:14.133, Tesla V100-PCIE-16GB, 5 %, 2 %, 1262 MiB, 16384 MiB
2026/08/11 07:45:19.134, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB
