timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/13 04:33:10.706, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB, 42
2026/08/13 04:33:20.707, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 44
2026/08/13 04:33:30.708, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 45
2026/08/13 04:33:40.709, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 04:33:50.808, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 46
2026/08/13 04:34:00.810, Tesla V100-PCIE-16GB, 28 %, 3 %, 548 MiB, 16384 MiB, 47
2026/08/13 04:34:10.811, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 47
2026/08/13 04:34:20.812, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 04:34:30.813, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 04:34:40.814, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 04:34:50.815, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 48
2026/08/13 04:35:00.816, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:35:10.817, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:35:20.819, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:35:30.820, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:35:40.821, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:35:50.895, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:36:00.896, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:36:10.897, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:36:20.898, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 49
2026/08/13 04:36:30.899, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:36:40.900, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:36:50.901, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:37:00.903, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:37:10.904, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:37:20.905, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:37:30.906, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:37:40.907, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:37:50.971, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:38:00.972, Tesla V100-PCIE-16GB, 56 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:38:10.973, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:38:20.974, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:38:30.976, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:38:40.977, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:38:50.978, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:39:00.979, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:39:10.980, Tesla V100-PCIE-16GB, 24 %, 5 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:39:20.981, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:39:30.982, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:39:40.984, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:39:51.045, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:40:01.046, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:40:11.047, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:40:21.049, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:40:31.050, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:40:41.052, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:40:51.053, Tesla V100-PCIE-16GB, 57 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:41:01.054, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:41:11.055, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:41:21.056, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:41:31.058, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:41:41.059, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:41:51.105, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:42:01.106, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:42:11.107, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:42:21.109, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:42:31.110, Tesla V100-PCIE-16GB, 60 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:42:41.111, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:42:51.113, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:43:01.114, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:43:11.115, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:43:21.116, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:43:31.118, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:43:41.119, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:43:51.120, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:44:01.121, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:44:11.122, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:44:21.124, Tesla V100-PCIE-16GB, 54 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:44:31.125, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:44:41.126, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:44:51.127, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:45:01.128, Tesla V100-PCIE-16GB, 58 %, 4 %, 548 MiB, 16384 MiB, 50
2026/08/13 04:45:11.129, Tesla V100-PCIE-16GB, 59 %, 4 %, 548 MiB, 16384 MiB, 50
