comparison,role,delta_transition_macro_f1,ci95_low,ci95_high,wilcoxon_p,holm_p,median_subject_delta,wins,ties,losses,accuracy_difference,macro_f1_difference,n1_f1_difference,n1_recall_difference
FULL_CPN-C,primary,0.0009525338121707527,-0.004587876542153244,0.0065682629912695596,0.7937150473729154,1.0,-0.0010952668385690312,36,0,42,0.002962106523284991,0.0027529979833758045,0.010397593455452436,0.003624198494563746
FULL_CPN-CP,key_secondary,0.002368908158541405,-0.0029895450142857823,0.007713894603657608,0.6521639124174337,1.0,0.0022070700273095767,41,0,37,0.00203101259023164,0.0024961822492661767,0.009283819110838643,0.004274695660254679
FULL_CPN-CN,key_secondary,0.0011597930595733663,-0.00391801973953935,0.006490077627818618,0.6774884334119861,1.0,-0.0018540576468611403,38,0,40,-0.0010896868557163097,-0.001355362152202555,0.005963797870412124,0.009664529318836601
