experiment,description,macro_f1,accuracy,cohen_kappa,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
E0,"15CNN + BiLSTM, raw",0.7754191294398219,0.8262333157687408,0.7614306471298654,0.9236259166855675,0.5009154155986818,0.8475606637391222,0.7920625834764358,0.8129310676993026
E1,"15CNN + TCN, raw",0.7802296650249438,0.8314822299188106,0.7683007096667837,0.9252773001841059,0.5114687558995658,0.8528824025913126,0.7942797556978997,0.8172401107518346
E2,"ResNet-1D + TCN, raw",0.7834810965434041,0.834060643887266,0.7716422669337007,0.9249646201559725,0.5180288748359384,0.8537004913666087,0.7976409601442471,0.823070536214254
E3,"ResNet-1D + TCN, filtered/chia 100",0.790443093280202,0.8362655971023538,0.7753814198538028,0.9304233347792008,0.5275965198477434,0.85141065830721,0.8084536161415062,0.8343313373253494
E4,"ResNet-1D + TCN, band-pass",0.7890670834818027,0.8359535271577591,0.774558067252781,0.9284432139706107,0.5270068636227991,0.8538417016350746,0.8093225179938307,0.8267211201866979
E6,"ResNet-1D + TCN, filtered/z-score",0.7691240270076213,0.8229693711023232,0.7573204566326308,0.9278720726803966,0.5123970712346889,0.8384604793066215,0.7456717515162653,0.8212187603001337
