condition,overall_macro_f1,overall_accuracy,n1_f1,n1_recall,transition_radius1_epochs,transition_radius1_macro_f1,transition_radius1_n1_recall,transition_radius2_epochs,transition_radius2_macro_f1,transition_W_N1_macro_f1,transition_N1_N2_macro_f1,transition_N1_REM_macro_f1,transition_N2_N3_macro_f1
FULL_CPN,0.7802296650249438,0.8314822299188106,0.5114687558995658,0.5035312703280365,43237,0.6200546247839497,0.4839890210430009,58545,0.6481666669126172,0.3303197637615171,0.33891391140456895,0.26901138466888674,0.4272081686278141
C,0.777476667041568,0.8285201233955256,0.5010711624441133,0.4999070718334727,43237,0.6191020909717789,0.48082841220993094,58545,0.6474277598475124,0.3278535349400072,0.34893953205022926,0.2651118136162246,0.42808843170038635
CP,0.7777334827756777,0.829451217328579,0.5021849367887271,0.4992565746677818,43237,0.6176857166254083,0.4801630208766531,58545,0.6458013946554296,0.3329721700045629,0.34747336186040334,0.2588722380903573,0.4267785032791466
CN,0.7815850271771464,0.8325719167745269,0.5055049580291536,0.49386674100919986,43237,0.6188948317243763,0.4724278466272977,58545,0.6479042304588675,0.32507042281315013,0.34402927587990556,0.2534187035226626,0.42161557749167117
